id,smarts,krids
2041,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[CH2;D2;+0:13]-[C:14]=[C:15].[O;H0;D1;+0:16]=[O;H0;D1;+0:17]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[OH;D1;+0:16])-[C:14]=[C:15].[OH2;D0;+0:17],['d5b98876dea0756fdec33de28a645d1c60ae04b2']
2042,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[C;H0;D3;+0:13]1=[C;H0;D3;+0:14](-[C:15]=[O;D1;H0:16])-[C;H0;D3;+0:17](=[O;H0;D1;+0:18])-[c:19]:[c:20]-[C;H0;D4;+0:21]-1(-[C;D1;H3:22])-[OH;D1;+0:23].[OH2;D0;+0:24]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[c;H0;D3;+0:13]1:[c;H0;D3;+0:14](:[c;H0;D3;+0:17](-[OH;D1;+0:18]):[c:19]:[c:20]:[c;H0;D3;+0:21]:1-[C;D1;H3:22])-[C:15]=[O;D1;H0:16].[O;H0;D1;+0:23]=[O;H0;D1;+0:24],['2d4318d6ab6bf97d880a74c6b070ce985963fa8e']
2043,[C;D1;H3:1]-[N;H0;D3;+0:2](-[C;D1;H3:3])-[CH;D2;+0:4]=[O;D1;H0:5].[OH2;D0;+0:6]>>[C;D1;H3:1]-[NH;D2;+0:2]-[C;D1;H3:3].[O;D1;H0:5]=[CH;D2;+0:4]-[OH;D1;+0:6],['a8a5bb92107cadd6ba5b991f957761fc4386287d']
2044,[C;D1;H3:1]-[N;H0;D3;+0:2](-[C;D1;H3:3])-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[C:8]-[S;H0;D2;+0:9]-[CH3;D1;+0:10]>>[C;D1;H3:1]-[N+;H0;D4:2](-[C;D1;H3:3])(-[CH3;D1;+0:10])-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[C:8]-[SH;D1;+0:9],['9020b07ceb6149b4190efda5adf7eaa245dc2ecf']
2045,[C;D1;H3:1]-[N;H0;D3;+0:2](-[C;D1;H3:3])-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[C:8]-[S+;H0;D3:9](-[C:10])-[CH3;D1;+0:11]>>[C;D1;H3:1]-[N+;H0;D4:2](-[C;D1;H3:3])(-[CH3;D1;+0:11])-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[C:8]-[S;H0;D2;+0:9]-[C:10],['4d152c41561343410d6802e7650c4f438b9c4a9c']
2046,[CH3;D1;+0:1]-[N;H0;D3;+0:2](-[CH3;D1;+0:3])-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[C:8]-[S;H0;D2;+0:9]-[C:10].[C:11]-[S;H0;D2;+0:12]-[C:13]>>[C:8]-[S+;H0;D3:9](-[C:10])-[CH3;D1;+0:1].[C:11]-[S+;H0;D3:12](-[C:13])-[CH3;D1;+0:3].[NH2;D1;+0:2]-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7],['7b3ab9fd3c66096cde39b6093cfdd9f87e6e8481']
2047,[C;D1;H3:1]-[N;H0;D3;+0:2](-[CH3;D1;+0:3])-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[C:8]-[S;H0;D2;+0:9]-[C:10]>>[C;D1;H3:1]-[NH;D2;+0:2]-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[C:8]-[S+;H0;D3:9](-[C:10])-[CH3;D1;+0:3],['3361c5a1a3273101644e6b6bdf75170a835e9dab']
2048,[C;D1;H3:1]-[N;H0;D3;+0:2](-[CH3;D1;+0:3])-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[O;H0;D1;+0:8]=[O;H0;D1;+0:9].[OH2;D0;+0:10]>>[C;D1;H3:1]-[NH;D2;+0:2]-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7].[CH2;D1;+0:3]=[O;H0;D1;+0:10].[OH;D1;+0:8]-[OH;D1;+0:9],['bdc82a9da288fb95e71e6f88ddf7d99793f48f96']
2049,[C;D1;H3:1]-[N;H0;D3;+0:2](-[CH3;D1;+0:3])-[c:4].[C:5]-[S;H0;D2;+0:6]-[C:7]>>[C;D1;H3:1]-[NH;D2;+0:2]-[c:4].[C:5]-[S+;H0;D3:6](-[C:7])-[CH3;D1;+0:3],['1ad3a0c0908f20082097f9088aa9257b7f4e0a96']
2050,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[#8:12]-[C:13]-[n+;H0;D3:14]1:[cH;D2;+0:15]:[c;H0;D3;+0:16](-[C:17](-[N;D1;H2:18])=[O;D1;H0:19]):[cH;D2;+0:20]:[cH;D2;+0:21]:[cH;D2;+0:22]:1.[NH2;D1;+0:23]-[c:24].[NH2;D1;+0:25]-[c:26]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[#8:12]-[C:13]-[N;H0;D3;+0:14]1-[CH;D2;+0:15]=[C;H0;D3;+0:16](-[C:17](-[N;D1;H2:18])=[O;D1;H0:19])-[CH2;D2;+0:20]-[CH;D2;+0:21]=[CH;D2;+0:22]-1.[c:26]-[N;H0;D2;+0:25]=[N;H0;D2;+0:23]-[c:24],['e55c23c55fab364ccd0c95efa9a0ed451a00f2b4']
2051,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[#8:12]-[C:13]-[N;H0;D3;+0:14]1-[CH;D2;+0:15]=[CH;D2;+0:16]-[CH2;D2;+0:17]-[C;H0;D3;+0:18](-[C:19](-[N;D1;H2:20])=[O;D1;H0:21])=[CH;D2;+0:22]-1.[c:23]-[N;H0;D2;+0:24]=[N;H0;D2;+0:25]-[c:26]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[#8:12]-[C:13]-[n+;H0;D3:14]1:[cH;D2;+0:15]:[cH;D2;+0:16]:[cH;D2;+0:17]:[c;H0;D3;+0:18](-[C:19](-[N;D1;H2:20])=[O;D1;H0:21]):[cH;D2;+0:22]:1.[NH2;D1;+0:25]-[c:26].[NH2;D1;+0:24]-[c:23],['cebcd73944c913a9c3b58702b365dc19fa9c6e79']
2052,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:4].[N;D1;H1:5]=[C:6]-[NH2;D1;+0:7]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:7]-[C:6]=[N;D1;H1:5].[OH2;D0;+0:4],['d080efd37351219cdba5d4e3f12bce390d727b11']
2053,[#7:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[O;H0;D1;+0:4].[C;D1;H3:5]-[NH2;D1;+0:6]>>[#7:1]-[C;H0;D3;+0:2](=[NH;D1;+0:3])-[NH;D2;+0:6]-[C;D1;H3:5].[OH2;D0;+0:4],['a96d5316ead221b13995b837bcbe9e6da47a045b']
2054,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C;D1;H3:7]-[NH2;D1;+0:8].[C:9]-[C;H0;D3;+0:10](=[O;D1;H0:11])-[OH;D1;+0:12]>>[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:12].[C:9]-[C;H0;D3;+0:10](=[O;D1;H0:11])-[NH;D2;+0:8]-[C;D1;H3:7],['f88d3ada21d6298edf0bfc0e9e8a6fdc521fc749']
2055,[CH3;D1;+0:1]-[NH2;D1;+0:2].[O;H0;D1;+0:3]=[O;H0;D1;+0:4].[OH2;D0;+0:5]>>[CH2;D1;+0:1]=[O;H0;D1;+0:5].[NH3;D0;+0:2].[OH;D1;+0:3]-[OH;D1;+0:4],['8b41c97b48e208877024d11d0f394167ea279eb7']
2056,[C;D1;H3:1]-[NH2;D1;+0:2].[O;D1;H0:3]=[C:4](-[O;D1;H1:5])-[CH;D2;+0:6]=[O;H0;D1;+0:7].[OH;D1;+0:8]-[OH;D1;+0:9]>>[C;D1;H3:1]-[NH;D2;+0:2]-[CH2;D2;+0:6]-[C:4](=[O;D1;H0:3])-[O;D1;H1:5].[O;H0;D1;+0:8]=[O;H0;D1;+0:9].[OH2;D0;+0:7],['5fc321f0ee7543ab9b827632173a0e65c0fcb032']
2057,[C;D1;H3:1]-[NH2;D1;+0:2].[C:3]-[CH;D2;+0:4]=[O;H0;D1;+0:5].[OH;D1;+0:6]-[OH;D1;+0:7]>>[C:3]-[CH2;D2;+0:4]-[NH;D2;+0:2]-[C;D1;H3:1].[O;H0;D1;+0:6]=[O;H0;D1;+0:7].[OH2;D0;+0:5],"['b70fd07c1e1d8f501a9ea904dca94bcdd641068a', 'dcdacfc004a0cdadc157184c716618483f5ef22c']"
2058,[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D4;+0:4]1(-[#7:5]-[C:6]=[O;D1;H0:7])-[O;H0;D2;+0:8]-[CH;D3;+0:9]-1-[c:10].[C:11]-[C;H0;D3;+0:12](=[O;D1;H0:13])-[OH;D1;+0:14].[O;D1;H0:15]=[C;H0;D2;+0:16]=[O;H0;D1;+0:17]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[CH;D2;+0:9]-[c:10])-[#7:5]-[C:6]=[O;D1;H0:7].[C:11]-[C;H0;D3;+0:12](=[O;D1;H0:13])-[C;H0;D3;+0:16](=[O;D1;H0:15])-[OH;D1;+0:17].[O;H0;D1;+0:14]=[O;H0;D1;+0:8],"['5808eba322cc40bb359abc3bcfa469dc5bbea110', '1704a9b133ae1339b5593249fd32d84ba4e78657']"
2059,[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[CH;D2;+0:5]-[c:6])-[#7:7]-[C:8]=[O;D1;H0:9].[C:10]-[C;H0;D3;+0:11](=[O;D1;H0:12])-[OH;D1;+0:13].[O;D1;H0:14]=[C;H0;D2;+0:15]=[O;H0;D1;+0:16].[OH2;D0;+0:17]>>[#7:1]-[C:2](=[O;D1;H0:3])-[CH;D3;+0:4](-[CH2;D2;+0:5]-[c:6])-[#7:7]-[C:8]=[O;D1;H0:9].[C:10]-[C;H0;D3;+0:11](=[O;D1;H0:12])-[C;H0;D3;+0:15](=[O;D1;H0:14])-[OH;D1;+0:16].[O;H0;D1;+0:13]=[O;H0;D1;+0:17],"['3c8549c61cf994dd748616fbd4889397580749a6', '1ad7162988f92b09d7a481ae61b80f92d46f4095']"
2060,[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[CH;D2;+0:5]-[c:6])-[#7:7]-[C:8]=[O;D1;H0:9].[C:10]-[C;H0;D3;+0:11](=[O;D1;H0:12])-[C;H0;D3;+0:13](=[O;D1;H0:14])-[OH;D1;+0:15].[O;H0;D1;+0:16]=[O;H0;D1;+0:17]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D4;+0:4]1(-[#7:7]-[C:8]=[O;D1;H0:9])-[O;H0;D2;+0:16]-[CH;D3;+0:5]-1-[c:6].[C:10]-[C;H0;D3;+0:11](=[O;D1;H0:12])-[OH;D1;+0:17].[O;D1;H0:14]=[C;H0;D2;+0:13]=[O;H0;D1;+0:15],"['39a837968e4479ca01dd455fdc0f08485aadf21a', '7d2c21788392bdb08f670be1cdb0da14c91be4e5']"
2061,[#7:1]-[C:2](=[O;D1;H0:3])-[CH;D3;+0:4](-[CH2;D2;+0:5]-[c:6])-[#7:7]-[C:8]=[O;D1;H0:9].[C:10]-[C;H0;D3;+0:11](=[O;D1;H0:12])-[C;H0;D3;+0:13](=[O;D1;H0:14])-[OH;D1;+0:15].[O;H0;D1;+0:16]=[O;H0;D1;+0:17]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[CH;D2;+0:5]-[c:6])-[#7:7]-[C:8]=[O;D1;H0:9].[C:10]-[C;H0;D3;+0:11](=[O;D1;H0:12])-[OH;D1;+0:16].[O;D1;H0:14]=[C;H0;D2;+0:13]=[O;H0;D1;+0:15].[OH2;D0;+0:17],"['a47424b167579a391075c90c576714865dbf5863', 'b2ee428c4d1481d368e030688ccca47b83bdbf7c']"
2062,[N;D1;H1:1]=[C:2]1-[#7:3]-[C:4]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[NH;D2;+0:7]-1.[OH2;D0;+0:8]>>[N;D1;H1:1]=[C:2](-[NH2;D1;+0:7])-[#7:3]-[C:4]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[OH;D1;+0:8],['86d3f8040f7a235717ea258fc784acb9a67f42b1']
2063,[#8:1]-[C:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[C:5]=[C:6].[#8:7]-[C:8]-[N;H0;D3;+0:9]1-[CH;D2;+0:10]=[CH;D2;+0:11]-[CH2;D2;+0:12]-[C;H0;D3;+0:13](-[C:14](-[N;D1;H2:15])=[O;D1;H0:16])=[CH;D2;+0:17]-1>>[#8:1]-[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C:5]=[C:6].[#8:7]-[C:8]-[n+;H0;D3:9]1:[cH;D2;+0:10]:[cH;D2;+0:11]:[cH;D2;+0:12]:[c;H0;D3;+0:13](-[C:14](-[N;D1;H2:15])=[O;D1;H0:16]):[cH;D2;+0:17]:1,"['6db2dda524ed25408acba2faafec3f87b3c1b673', '315f7ab70f3f5040e972b4e033a95e9502259f03']"
2064,[#8:1]-[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C:5]=[C:6].[#8:7]-[C:8]-[n+;H0;D3:9]1:[cH;D2;+0:10]:[c;H0;D3;+0:11](-[C:12](-[N;D1;H2:13])=[O;D1;H0:14]):[cH;D2;+0:15]:[cH;D2;+0:16]:[cH;D2;+0:17]:1>>[#8:1]-[C:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[C:5]=[C:6].[#8:7]-[C:8]-[N;H0;D3;+0:9]1-[CH;D2;+0:10]=[C;H0;D3;+0:11](-[C:12](-[N;D1;H2:13])=[O;D1;H0:14])-[CH2;D2;+0:15]-[CH;D2;+0:16]=[CH;D2;+0:17]-1,"['07998ca7ba0fddcea61c014c490a2318d08a47a4', '7d1c3919d6d751cce835820dcacbfbde96748c62']"
2065,[#7:1]-[C;H0;D3;+0:2](-[c:3]:[c:4]:[#7;a:5])=[CH;D2;+0:6]-[C:7].[OH;D1;+0:8]-[OH;D1;+0:9]>>[#7:1]-[CH;D3;+0:2](-[c:3]:[c:4]:[#7;a:5])-[CH2;D2;+0:6]-[C:7].[O;H0;D1;+0:8]=[O;H0;D1;+0:9],['eaa4a44daf3cb2af31acdca121d05b4e35272b60']
2066,[#7:1]-[CH;D3;+0:2](-[c:3]:[c:4]:[#7;a:5])-[CH2;D2;+0:6]-[C:7].[O;H0;D1;+0:8]=[O;H0;D1;+0:9]>>[#7:1]-[C;H0;D3;+0:2](-[c:3]:[c:4]:[#7;a:5])=[CH;D2;+0:6]-[C:7].[OH;D1;+0:8]-[OH;D1;+0:9],['eb57f8fd6980db7df7d181c1a2c3cc438ef10169']
2067,[#7;a:1]:[c:2]:[c:3](:[c:4]:[#7;a:5])-[N;H0;D3;+0:6](-[CH3;D1;+0:7])-[C:8].[C:9]-[SH;D1;+0:10]>>[#7;a:1]:[c:2]:[c:3](:[c:4]:[#7;a:5])-[NH;D2;+0:6]-[C:8].[C:9]-[S;H0;D2;+0:10]-[CH3;D1;+0:7],"['5f994cca40dc777a1afa1836a121ad00e5f8fc6d', '0b1364a7f2624cfbb72077031eab2f64773e0b1b']"
2068,[#7;a:1]:[c:2]:[c:3](:[c:4]:[#7;a:5])-[N;H0;D3;+0:6](-[CH3;D1;+0:7])-[C:8].[OH;D1;+0:9]-[c:10]>>[#7;a:1]:[c:2]:[c:3](:[c:4]:[#7;a:5])-[NH;D2;+0:6]-[C:8].[CH3;D1;+0:7]-[O;H0;D2;+0:9]-[c:10],"['af1e785b747b6ccb9526e994491494ab947dd61e', 'c6785b2d02e8f7b89d1134236c7eefe78141afe2', 'b4639e6b197618bca916f93d2b721ce652cd9e97']"
2069,[#7;a:1]:[c:2]:[c:3](:[c:4]:[#7;a:5])-[N;H0;D3;+0:6](-[CH3;D1;+0:7])-[C:8].[C:9]-[S;H0;D2;+0:10]-[C;D1;H3:11]>>[#7;a:1]:[c:2]:[c:3](:[c:4]:[#7;a:5])-[NH;D2;+0:6]-[C:8].[C:9]-[S+;H0;D3:10](-[C;D1;H3:11])-[CH3;D1;+0:7],['59bc63bc05800ad92e650f85c04bbba511a2ec3b']
2070,[#7:1]-[CH3;D1;+0:2].[C:3]-[NH;D2;+0:4]-[c:5].[#8:6]-[C:7]-[n+;H0;D3:8]1:[cH;D2;+0:9]:[c;H0;D3;+0:10](-[C:11](-[N;D1;H2:12])=[O;D1;H0:13]):[cH;D2;+0:14]:[cH;D2;+0:15]:[cH;D2;+0:16]:1>>[#7:1]-[CH2;D2;+0:2]-[N;H0;D3;+0:4](-[c:5])-[C:3].[#8:6]-[C:7]-[N;H0;D3;+0:8]1-[CH;D2;+0:9]=[C;H0;D3;+0:10](-[C:11](-[N;D1;H2:12])=[O;D1;H0:13])-[CH2;D2;+0:14]-[CH;D2;+0:15]=[CH;D2;+0:16]-1,"['3a5b44ae87e7138e41aff99bdc61a24698c9af73', '25c036b6eddd73a794a844157daa0b4f2126b441']"
2071,[#7:1]-[C;H0;D3;+0:2](=[NH;D1;+0:3])-[NH;D2;+0:4]-[C;D1;H3:5].[OH2;D0;+0:6]>>[#7:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[O;H0;D1;+0:6].[C;D1;H3:5]-[NH2;D1;+0:4],['a595652ad375e2bbd1749384c93d825e36b0275d']
2072,[#15:1]-[OH;D1;+0:2].[C:3]-[C;H0;D3;+0:4](=[O;D1;H0:5])-[NH;D2;+0:6]-[C;D1;H3:7].[O;D1;H0:8]=[P;H0;D4;+0:9](-[O;D1;H1:10])(-[O;D1;H1:11])-[OH;D1;+0:12]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:9](=[O;D1;H0:8])(-[O;D1;H1:10])-[O;D1;H1:11].[C;D1;H3:7]-[NH2;D1;+0:6].[C:3]-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:12],['1a4a42cb418cd9454581743d6e79b511d2a8ec23']
2073,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C;D1;H3:12]-[CH;D3;+0:13](-[NH;D2;+0:14]-[C;D1;H3:15])-[C:16](=[O;D1;H0:17])-[O;D1;H1:18].[OH2;D0;+0:19]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C;D1;H3:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:19])-[C:16](=[O;D1;H0:17])-[O;D1;H1:18].[C;D1;H3:15]-[NH2;D1;+0:14],['490aa1797d80449380bc5ba68f616a0321908cda']
2074,[CH3;D1;+0:1]-[NH;D2;+0:2]-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[S;H0;D2;+0:8]-[C:9]>>[C:7]-[S+;H0;D3:8](-[C:9])-[CH3;D1;+0:1].[NH2;D1;+0:2]-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6],"['023a18be02aecc6771542812284b848d28257a3e', 'ec7871057f02811d806eac4d447ff7b6d7b98775']"
2075,[#7:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[O;H0;D1;+0:4].[C;D1;H3:5]-[NH;D2;+0:6]-[C;D1;H3:7]>>[#7:1]-[C;H0;D3;+0:2](=[NH;D1;+0:3])-[N;H0;D3;+0:6](-[C;D1;H3:5])-[C;D1;H3:7].[OH2;D0;+0:4],['6ae3393df898daf3d73b0cc993e760dedcd474ec']
2076,[C;D1;H3:1]-[NH;D2;+0:2]-[C;D1;H3:3].[O;D1;H0:4]=[CH;D2;+0:5]-[OH;D1;+0:6]>>[C;D1;H3:1]-[N;H0;D3;+0:2](-[C;D1;H3:3])-[CH;D2;+0:5]=[O;D1;H0:4].[OH2;D0;+0:6],['0445d21847c47b949aeb08e08f53c8c61fa54ac3']
2077,[C:1]-[S+;H0;D3:2](-[C:3])-[CH3;D1;+0:4].[C:5]=[C:6]-[C:7]-[NH;D2;+0:8]-[C;D1;H3:9]>>[C:1]-[S;H0;D2;+0:2]-[C:3].[C:5]=[C:6]-[C:7]-[N;H0;D3;+0:8](-[C;D1;H3:9])-[CH3;D1;+0:4],['2716f4ce47cabd89158bdbba4dde074d89c2253f']
2078,[C:1]-[S;H0;D2;+0:2]-[C:3].[C:4]=[C:5]-[C:6]-[NH;D2;+0:7]-[CH3;D1;+0:8]>>[C:1]-[S+;H0;D3:2](-[C:3])-[CH3;D1;+0:8].[C:4]=[C:5]-[C:6]-[NH2;D1;+0:7],['d0c356d3458e4029ae32e2c436c818d193806df6']
2079,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[CH;D2;+0:13]=[C;H0;D3;+0:14](-[C;D1;H3:15])-[C:16]=[O;D1;H0:17]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH2;D2;+0:13]-[CH;D3;+0:14](-[C;D1;H3:15])-[C:16]=[O;D1;H0:17],['9175edd950ec36f29de3a9c31959598159341953']
2080,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[CH2;D2;+0:13]-[CH;D3;+0:14](-[C;D1;H3:15])-[C:16]=[O;D1;H0:17]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[CH;D2;+0:13]=[C;H0;D3;+0:14](-[C;D1;H3:15])-[C:16]=[O;D1;H0:17],['b69980e97a4de0b7c77af3cb6664492618fad4d3']
2081,[C;D1;H3:1]-[NH;D2;+0:2]-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[S+;H0;D3:8](-[C:9])-[CH3;D1;+0:10]>>[C;D1;H3:1]-[N;H0;D3;+0:2](-[CH3;D1;+0:10])-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[S;H0;D2;+0:8]-[C:9],['2dcd557a825ba45196b5ec3539f7ceb3078dc3a0']
2082,[CH3;D1;+0:1]-[NH;D2;+0:2]-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[O;H0;D1;+0:7]=[O;H0;D1;+0:8].[OH2;D0;+0:9]>>[CH2;D1;+0:1]=[O;H0;D1;+0:9].[NH2;D1;+0:2]-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[OH;D1;+0:7]-[OH;D1;+0:8],['616c31915cf3d93bf13adca086c104b6e6538e09']
2083,[C;D1;H3:1]-[NH;D2;+0:2]-[CH2;D2;+0:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[O;H0;D1;+0:7]=[O;H0;D1;+0:8].[OH2;D0;+0:9]>>[C;D1;H3:1]-[NH2;D1;+0:2].[O;D1;H0:5]=[C:4](-[O;D1;H1:6])-[CH;D2;+0:3]=[O;H0;D1;+0:9].[OH;D1;+0:7]-[OH;D1;+0:8],['79190f650f7bc2dc241ff0729bff86f6efbcfe5a']
2084,[C:1]-[CH2;D2;+0:2]-[NH;D2;+0:3]-[C;D1;H3:4].[O;H0;D1;+0:5]=[O;H0;D1;+0:6].[OH2;D0;+0:7]>>[C;D1;H3:4]-[NH2;D1;+0:3].[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:7].[OH;D1;+0:5]-[OH;D1;+0:6],"['4bc32ac5267da1439f9c1a0979dc4fd273e1fdf4', 'c75d4714799b46b5f7e860a5c39c320f5efb4c29']"
2085,[C:1]-[NH;D2;+0:2]-[CH3;D1;+0:3].[O;H0;D1;+0:4]=[O;H0;D1;+0:5].[OH2;D0;+0:6]>>[CH2;D1;+0:3]=[O;H0;D1;+0:6].[C:1]-[NH2;D1;+0:2].[OH;D1;+0:4]-[OH;D1;+0:5],['55372b86658e58e152d1310f0977d33276c12316']
2086,[#7;a:1]:[c:2]:[cH;D2;+0:3]:[c:4].[C:5]-[C;H0;D3;+0:6](=[O;D1;H0:7])-[OH;D1;+0:8]>>[#7;a:1]:[c:2]:[c;H0;D3;+0:3](-[C;H0;D3;+0:6](-[C:5])=[O;D1;H0:7]):[c:4].[OH2;D0;+0:8],['2bb3bc129a017e4703ff8e4d33c13050d817ec51']
2087,[#7;a:1]:[c:2]:[c;H0;D3;+0:3](-[C;H0;D3;+0:4](-[C:5])=[O;D1;H0:6]):[c:7].[OH2;D0;+0:8]>>[#7;a:1]:[c:2]:[cH;D2;+0:3]:[c:7].[C:5]-[C;H0;D3;+0:4](=[O;D1;H0:6])-[OH;D1;+0:8],['55b6d78821b5585a14ac413b4338d2a894e5e343']
