id,smarts,entry_id,mechanism_id
30,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[c&D3&v4&H0&0*&R&z1:3]:[c&D2&v4&H1&0*&R&z0:4]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z1:3],[50],[3]
31,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[c&D3&v4&H0&0*&R&z1:3]:[c&D2&v4&H1&0*&R&z0:4]:[c&D3&v4&H0&0*&R&z2:5]=[O&D1&v2&H0&0*&!R:6]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[O&D1&v2&H0&0*&!R:6]=[c&D3&v4&H0&0*&R&z2:5]:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z1:3],[50],[2]
32,[*:1](~[O&D1&v2&H1&0*&!R:2])~[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D1&v2&H1&0*&!R:6].[C&D3&v4&H0&0*&!R&z2:7](-[O&D1&v2&H1&0*&!R:8])-[C&D2&v4&H2&0*&!R&z0:9]-[C&D3&v4&H0&0*&!R&z1:10](=[O&D1&v2&H0&0*&!R:11])~[*:12]~[O&D1&v2&H0&0*&!R:13]>>[*:1](~[O&D1&v2&H1&0*&!R:3])~[O&D1&v2&H1&0*&!R:2].[C&D1&v4&H2&0*&!R&z0:9]=[C&D3&v4&H0&0*&!R&z1:10](-[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D1&v2&H1&0*&!R:6])~[*:12]~[O&D1&v2&H0&0*&!R:13].[O&D1&v2&H0&0*&!R:8]=[C&D2&v4&H0&0*&!R&z2:7],[51],[1]
33,[C&D1&v4&H2&0*&!R&z0:1]=[C&D3&v4&H0&0*&!R&z1:2](-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D1&v2&H1&0*&!R:6])~[*:7]~[O&D1&v2&H0&0*&!R:8].[O&D1&v2&H0&0*&!R:9]=[C&D2&v4&H0&0*&!R&z2:10].[O&D1&v2&H1&0*&!R:11]>>[C&D3&v4&H0&0*&!R&z2:10](-[O&D1&v2&H1&0*&!R:9])-[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z1:2](=[O&D1&v2&H0&0*&!R:3])~[*:7]~[O&D1&v2&H0&0*&!R:8].[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D1&v2&H1&0*&!R:6],[51],[1]
34,([O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z1:2].[O&D1&v2&H1&0*&!R:3]).[O&D1&v2&H0&0*&!R:4]=[C&D3&v4&H0&0*&!R&z1:5](-[C&D2&v4&H2&0*&!R&z1:6])~[*:7]~[*:8]~[*:9]~[O&D1&v2&H1&0*&!R:10]>>[O&D2&v2&H0&0*&R:3]-[C&D4&v4&H0&0*&R&z2:5](-[O&D1&v2&H1&0*&!R:4])(~[*:7]~[*:8]~[*:9]~[O&D1&v2&H1&0*&!R:10])-[C&D3&v4&H1&0*&R&z1:6]-[C&D3&v4&H1&0*&R&z1:2]-[O&D1&v2&H1&0*&!R:1],"[52, 222]","[1, 1]"
35,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&R&z1:2]-[C&D2&v4&H2&0*&R&z0:3]-[C&D4&v4&H0&0*&R&z1:4]-[O&D1&v2&H1&0*&!R:5]>>[C&D3&v4&H0&0*&R&z0:4]=[C&D2&v4&H1&0*&R&z0:3]-[C&D3&v4&H0&0*&R&z1:2]=[O&D1&v2&H0&0*&!R:1].[O&D0&v2&H2&0*&!R:5],"[54, 55]","[1, 1]"
36,[C&D2&v4&H0&0*&!R&z2:1]#[N&D1&v3&H0&0*&!R:2].[O&D0&v2&H2&0*&!R:3]>>[C&D3&v4&H0&0*&!R&z3:1](-[N&D1&v3&H2&0*&!R:2])=[O&D1&v2&H0&0*&!R:3],"[57, 57]","[1, 2]"
37,[C&D3&v4&H0&0*&!R&z3:1](-[N&D1&v3&H2&0*&!R:2])=[O&D1&v2&H0&0*&!R:3]>>[C&D2&v4&H0&0*&!R&z2:1]#[N&D1&v3&H0&0*&!R:2].[O&D0&v2&H2&0*&!R:3],[57],[1]
38,([O&D1&v2&H1&0*&!R:1].[P&D4&v5&H0&0*&!R:2]-[O&D2&v2&H0&0*&!R:3]~[*:4](~[O&D1&v2&H0&0*&!R:5])~[*:6]~[*:7]~[O&D1&v2&H1&0*&!R:8])>>[O&D1&v2&H0&0*&!R:5]~[*:4](~[O&D1&v2&H1&0*&!R:3])~[*:6]~[*:7]~[O&D1&v2&H1&0*&!R:8].[P&D4&v5&H0&0*&R:2]-[O&D2&v2&H0&0*&R:1],[58],[1]
39,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[*:4]~[O&D1&v2&H0&0*&!R:5].[P&D4&v5&H0&0*&R:6]-[O&D2&v2&H0&0*&R:7]>>([O&D1&v2&H1&0*&!R:7].[P&D4&v5&H0&0*&!R:6]-[O&D2&v2&H0&0*&!R:2]~[*:1]~[*:3]~[*:4]~[O&D1&v2&H0&0*&!R:5]),[58],[1]
40,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&R&z1:2]-[C&D3&v4&H1&0*&R&z2:3](-[O&D1&v2&H1&0*&!R:4])-[O&D2&v2&H0&0*&R:5].[O&D0&v2&H2&0*&!R:6]>>[N&D0&v3&H3&0*&!R:1].[O&D2&v2&H0&0*&R:5]-[C&D4&v4&H0&0*&R&z2:2](-[O&D1&v2&H1&0*&!R:6])-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4],"[60, 60]","[1, 2]"
41,[N&D0&v3&H3&0*&!R:1].[O&D2&v2&H0&0*&R:2]-[C&D4&v4&H0&0*&R&z2:3](-[O&D1&v2&H1&0*&!R:4])-[C&D2&v4&H2&0*&!R&z1:5]>>[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&R&z1:3]-[C&D3&v4&H1&0*&R&z2:5]-[O&D2&v2&H0&0*&R:2].[O&D0&v2&H2&0*&!R:4],"[60, 60]","[1, 2]"
