id,smarts,ni_ids
66,[#6:1]-[#6:2]-[#6:3]=[#8:4].[#6:5]1=[#6:6]-[#7:7]-[#6:8]=[#6:9]-[#6:10]-1>>[#6:1]-[#6:3](-[#6:2])-[#8:4].[#6:5]1:[#6:10]:[#6:9]:[#6:8]:[#7+:7]:[#6:6]:1,['rule0348']
67,[#6:1]-[#8:2].[#8:3]=[#6:4]1-[#6:5]=[#6:6]-[#6:7](=[#8:8])-[#6:9]=[#6:10]-1>>[#6:1]=[#8:2].[#8:3]-[#6:4]1:[#6:10]:[#6:9]:[#6:7](-[#8:8]):[#6:6]:[#6:5]:1,['rule0467']
68,([#8:1].[#6:2]=[#6:3]-[#6:4]-[#8:5])>>[#6:4]=[#6:3]-[#6:2]-[#8:1].[#8:5],['rule0851']
69,[#16:1]-[#16:2].[#8:3].[#8:4]>>[#16:1].[#16:2].[#8:3]-[#8:4],['rule0792']
70,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]:[#6:8]1:[#6:9]:[#6:10]:[#6:11]:[#7:12]:1.[#8:13]=[#8:14]>>[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#7:12]-[#6:11]:[#6:10]-[#6:9]:[#6:8](-[#8:13]):[#6:7]-[#8:14],['rule1120']
71,[#6:1]-[#8:2].[#8:3]-[#16:4]>>[#6:1]-[#16:4]=[#8:3].[#8:2],['rule0740']
72,[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8]-[#6:9]-[#6:10]-[#6:11]-[#6:12]-[#8:13]>>([#6:12]=[#6:11].[#6:1]=[#6:2].[#6:8]=[#6:7].[#6:10]=[#6:9].[#6:3]=[#6:4].[#6:5]=[#6:6]).[#8:13],['rule0861']
73,([#8:1].[#8:2]-[#6:3]-[#6:4](-[#8:5])-[#6:6](-[#8:7])-[#6:8]=[#8:9])>>([#8:2].[#6:3]=[#6:4]-[#6:6](=[#8:7])-[#6:8](-[#8:1])-[#8:9]).[#8:5],['rule0897']
74,[#6:1].[#8:2].[#8:3]=[#8:4]>>[#6:1]-[#8:2].[#8:3]-[#8:4],['rule0145']
75,[#16:1]-[#16:2].[#6:3]1:[#6:4]-[#7:5]-[#6:6]:[#6:7]-[#7:8]-1>>[#16:1].[#16:2].[#6:3]1:[#6:4]:[#7:5]:[#6:6]:[#6:7]:[#7:8]:1,['rule1016']
76,[#16:1].[#6:2]-[#7:3]>>[#6:2]-[#16:1].[#7:3],"['rule0041', 'rule0075', 'rule0284']"
77,[#6:1]=[#6:2].[#8:3]-[#6:4]1:[#6:5]:[#6:6]:[#6:7](-[#8:8]):[#6:9]:[#6:10]:1>>[#6:1]-[#6:2].[#8:3]=[#6:4]1-[#6:10]=[#6:9]-[#6:7](=[#8:8])-[#6:6]:[#6:5]-1,['rule0412']
78,[#6:1].[#6:2]-[#8:3].[#8:4]-[#15:5]>>[#6:1]-[#6:2].[#8:4].[#8:3]-[#15:5],['rule0356']
79,[#6:1].[#8:2]-[#8:3]>>[#6:1]-[#8:2].[#8:3],['rule1165']
80,[#16:1].[#6:2]-[#7:3]:[#6:4]=[#7:5]>>[#6:2]-[#16+:1].[#7:3]:[#6:4]-[#7:5],['rule0421']
81,[#6:1]-[#16+:2].[#8:3]-[As:4]>>[#16+0:2].[#6:1]-[As:4]=[#8:3],['rule0710']
82,[#6:1]-[#6:2]-[#6:3]=[#6:4].[#8:5]>>([#6:1].[#6:2]=[#6:3]-[#6:4]-[#8:5]),['rule0509']
83,[#6:1]1:[#6:2]:[#6:3]:[#7:4]:[#6:5]:1.[#8:6]=[#8:7]>>[#8:6]=[#6:1]-[#6:2]:[#6:3]-[#7:4]-[#6:5]=[#8:7],['rule0403']
84,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#8:7]-[#6:8]1:[#6:9]:[#6:10]:[#6:11]:[#6:12]:[#6:13]:1.[#8:14]=[#8:15]>>[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#8:14].[#8:7]=[#6:8]1-[#6:13]=[#6:12]-[#6:11](-[#8:15])-[#6:10]:[#6:9]-1,['rule0395']
85,[#6:1]-[#16:2].[#8:3]>>[#16:2].[#6:1]-[#8:3],"['rule0022', 'rule0060', 'rule0062', 'rule0090', 'rule0196', 'rule0253', 'rule0722', 'rule0807', 'rule1022']"
86,[#8:1].[#8:2]-[#16:3]>>[#16:3].[#8:1]-[#8:2],['rule1173']
87,[#6:1]-[#16:2].[#6:3]-[#8:4]>>[#6:3]-[#16:2].[#6:1]-[#8:4],"['rule0079', 'rule0151', 'rule0152']"
88,[#16:1]-[#16:2].[#6:3]1=[#6:4]-[#7:5]-[#6:6]=[#6:7]-[#6:8]-1>>[#16:1].[#16:2].[#6:3]1:[#6:8]:[#6:7]:[#6:6]:[#7+:5]:[#6:4]:1,"['rule0293', 'rule1054']"
89,[#6:1]=[#6:2]1-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-1.[#8:8]>>([#6:3]=[#6:2]-[#6:7].[#6:1]-[#6:4]=[#6:5]-[#6:6]-[#8:8]),['rule0598']
90,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#6:5]:[#6:6]:1.[#8:7]>>[#8:7]-[#6:1]1-[#6:2]-[#6:3]=[#6:4]-[#6:5]=[#6:6]-1,['rule1085']
91,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#8:7].[#8:8]=[#6:9]1-[#6:10]=[#6:11]-[#6:12](-[#8:13])-[#6:14]:[#6:15]-1>>[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#8:8]-[#6:9]1:[#6:10]:[#6:11]:[#6:12]:[#6:14]:[#6:15]:1.[#8:13]=[#8:7],['rule1046']
92,[#6:1]=[#6:2]-[#6:3]=[#6:4]-[#6:5]-[#8:6].[#8:7]>>([#6:5]=[#6:4]-[#6:3]=[#6:2]-[#6:1].[#8:6]-[#8:7]),['rule0441']
93,([#8:1].[#6:2]=[#6:3].[#6:4]=[#6:5]-[#6:6]-[#8:7])>>([#8:7].[#8:1]-[#6:5]1-[#6:4]-[#6:2]-[#6:3]-[#6:6]-1),['rule1141']
