id,smarts,ni_ids
112,[#6:1]-[#6:2]-[#6:3]-[#8:4].[#6:5]1:[#7:6]:[#6:7]:[#6:8]:[#7:9]:[#6:10]-1>>[#6:10]1:[#6:5]-[#7:6]-[#6:7]:[#6:8]-[#7:9]-1.[#6:1]=[#6:2].[#6:3]=[#8:4],['rule0933']
113,([#6:1]-[#6:2].[#6:3]-[#6:4]-[#8:5]).[#8:6]-[#8:7]>>([#6:3].[#6:1]=[#6:2]).[#6:4]=[#8:5].[#8:6].[#8:7],['rule0619']
114,[#6:1]-[#16:2].[#8:3].[#8:4]=[#8:5]>>[#16:2].[#6:1]=[#8:3].[#8:4]-[#8:5],['rule0544']
115,[#16:1].[#6:2]-[#6:3]=[#8:4]>>[#8:4]-[#6:3]-[#6:2]-[#16:1],['rule1066']
116,([#6:1]=[#6:2].[#8:3]-[#8:4])>>[#8:3]-[#6:1]-[#6:2]-[#8:4],['rule0908']
117,[#6:1]=[#6:2]1-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-1.[#8:8]>>([#6:3]=[#6:2]-[#6:7].[#6:1]-[#6:4]=[#6:5]-[#6:6]-[#8:8]),['rule0598']
118,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#8:7]-[#6:8]1:[#6:9]:[#6:10]:[#6:11]:[#6:12]:[#6:13]:1>>[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#8:7]=[#6:8]1-[#6:13]:[#6:12]-[#6:11]-[#6:10]-[#6:9]-1,['rule0680']
119,[#16:1].[#6:2]1:[#6:3]-[#7:4]-[#6:5]:[#6:6]-[#7:7]-1.[#8:8]=[#8:9]>>[#6:2]1:[#7:7]:[#6:6]:[#6:5]:[#7:4]:[#6:3]-1.[#8:8].[#8:9]=[#16:1],['rule0630']
120,[#6:1]-[#6:2]-[#6:3]-[#8:4].[#6:5]1=[#6:6]-[#7:7]-[#6:8]=[#6:9]-[#6:10]-1.[#8:11]=[#8:12]>>([#6:1]=[#6:2].[#6:3]=[#8:4]).[#6:5]1:[#6:10]:[#6:9]:[#6:8]:[#7+:7]:[#6:6]:1.[#8:11].[#8:12],['rule0699']
121,[#16:1].[#6:2]-[#17:3]>>[#17:3].[#6:2]-[#16:1],['rule0458']
122,[#6:1]-[#6:2]1-[#6:3]-[#6:4](-[#6:5])-[#6:6]-1-[#6:7]-[#6:8].[#8:9]>>([#6:1]-[#6:4]-[#6:6]-[#6:2]=[#6:3].[#6:7]=[#6:8].[#6:5]-[#8:9]),['rule0665']
123,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#6:7]=[#8:8].[#7:9].[#8:10]>>[#6:7]-[#7:9].[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#8:10]=[#8:8],['rule0225']
124,([#6:1]=[#6:2].[#6:3]=[#6:4]).[#8:5]=[#8:6].[#8:7]=[#8:8]>>([#6:1]=[#8:5].[#6:3]=[#8:6]).[#6:2]=[#8:7].[#6:4]=[#8:8],['rule0265']
125,([#6:1]=[#6:2]-[#6:3]=[#6:4]-[#6:5].[#8:6]-[#8:7])>>[#6:5]=[#6:4]-[#6:3]=[#6:2]-[#6:1]-[#8:6].[#8:7],['rule0442']
126,([#7:1].[#6:2]1:[#6:3]:[#6:4]:[#7:5]:[#6:6]:1).[#6:7]=[#6:8]-[#6:9]-[#8:10]>>[#6:9]=[#6:8]-[#6:7]-[#6:2]1-[#6:3]:[#6:4]-[#7:5]-[#6:6]-1-[#7:1].[#8:10],['rule0526']
127,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#7:7].[#8:8]>>[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#7:7]-[#8:8],['rule0704']
128,[#8:1].[#8:2]-[#6:3]-[#8:4]-[#15:5]>>([#8:2].[#6:3]=[#8:4]).[#8:1]-[#15:5],['rule0848']
