id,smarts,rc_plus_0_id
32,[C&D3&v4&H1&+0&R&z1:1]-[C&D3&v4&H1&+0&R&z1:2](-[O&D1&v2&H1&+0&!R:3])-[C&D2&v4&H2&+0&R&z0:4].[O&D1&v2&H0&+0&!R:5]=[C&D2&v4&H0&+0&!R&z2:6]=[O&D1&v2&H0&+0&!R:7].[O&D1&v2&H0&+0&!R:8]=[C&D3&v4&H0&+0&!R&z2:9](-[O&D1&v2&H1&+0&!R:10])-[C&D2&v4&H2&+0&!R&z0:11]>>[C&D2&v4&H2&+0&!R&z0:11]-[C&D3&v4&H0&+0&!R&z1:9](=[O&D1&v2&H0&+0&!R:8])-[C&D3&v4&H0&+0&!R&z2:6](=[O&D1&v2&H0&+0&!R:7])-[O&D1&v2&H1&+0&!R:5].[C&D3&v4&H1&+0&R&z1:1]-[C&D2&v4&H2&+0&R&z0:2]-[C&D2&v4&H2&+0&R&z0:4].[O&D1&v2&H0&+0&!R:3]=[O&D1&v2&H0&+0&!R:10],261
33,[C&D3&v4&H1&+0&R&z1:1]-[C&D3&v4&H1&+0&R&z2:2](-[O&D2&v2&H0&+0&!R:3]-[P&D4&v5&H0&+0&!R:4])-[O&D2&v2&H0&+0&R:5].[C&D3&v4&H1&+0&R&z1:6]-[O&D1&v2&H1&+0&!R:7]>>[C&D3&v4&H1&+0&R&z1:6]-[O&D2&v2&H0&+0&!R:7]-[C&D3&v4&H1&+0&R&z2:2](-[O&D2&v2&H0&+0&R:5])-[C&D3&v4&H1&+0&R&z1:1].[P&D4&v5&H0&+0&!R:4]-[O&D1&v2&H1&+0&!R:3],517
34,[C&D2&v4&H2&+0&R&z0:1]-[C&D3&v4&H1&+0&R&z1:2](-[O&D1&v2&H1&+0&!R:3])-[C&D2&v4&H2&+0&R&z1:4].[O&D1&v2&H0&+0&!R:5]=[C&D2&v4&H0&+0&!R&z2:6]=[O&D1&v2&H0&+0&!R:7].[O&D1&v2&H0&+0&!R:8]=[C&D3&v4&H0&+0&!R&z2:9](-[O&D1&v2&H1&+0&!R:10])-[C&D2&v4&H2&+0&!R&z0:11]>>[C&D2&v4&H2&+0&!R&z0:11]-[C&D3&v4&H0&+0&!R&z1:9](=[O&D1&v2&H0&+0&!R:8])-[C&D3&v4&H0&+0&!R&z2:6](=[O&D1&v2&H0&+0&!R:7])-[O&D1&v2&H1&+0&!R:5].[C&D2&v4&H2&+0&R&z0:1]-[C&D2&v4&H2&+0&R&z0:2]-[C&D2&v4&H2&+0&R&z1:4].[O&D1&v2&H0&+0&!R:3]=[O&D1&v2&H0&+0&!R:10],261
35,[C&D3&v4&H1&+0&R&z1:1]-[O&D1&v2&H1&+0&!R:2].[P&D4&v5&H0&+0&!R:3]-[O&D2&v2&H0&+0&!R:4]-[C&D3&v4&H1&+0&R&z2:5](-[O&D2&v2&H0&+0&R:6])-[C&D3&v4&H1&+0&R&z1:7]>>[C&D3&v4&H1&+0&R&z1:1]-[O&D2&v2&H0&+0&!R:2]-[C&D3&v4&H1&+0&R&z2:5](-[O&D2&v2&H0&+0&R:6])-[C&D3&v4&H1&+0&R&z1:7].[P&D4&v5&H0&+0&!R:3]-[O&D1&v2&H1&+0&!R:4],517
36,[C&D3&v4&H1&+0&R&z1:1]-[O&D2&v2&H0&+0&!R:2]-[C&D3&v4&H1&+0&R&z2:3](-[O&D2&v2&H0&+0&R:4])-[C&D3&v4&H1&+0&R&z1:5].[P&D4&v5&H0&+0&!R:6]-[O&D1&v2&H1&+0&!R:7]>>[C&D3&v4&H1&+0&R&z1:5]-[C&D3&v4&H1&+0&R&z2:3](-[O&D2&v2&H0&+0&!R:7]-[P&D4&v5&H0&+0&!R:6])-[O&D2&v2&H0&+0&R:4].[C&D3&v4&H1&+0&R&z1:1]-[O&D1&v2&H1&+0&!R:2],517
37,[C&D3&v4&H1&+0&R&z1:1]-[O&D2&v2&H0&+0&!R:2]-[C&D3&v4&H1&+0&R&z2:3](-[O&D2&v2&H0&+0&R:4])-[C&D3&v4&H1&+0&R&z1:5].[P&D4&v5&H0&+0&!R:6]-[O&D1&v2&H1&+0&!R:7]>>[C&D3&v4&H1&+0&R&z1:1]-[O&D1&v2&H1&+0&!R:2].[P&D4&v5&H0&+0&!R:6]-[O&D2&v2&H0&+0&!R:7]-[C&D3&v4&H1&+0&R&z2:3](-[O&D2&v2&H0&+0&R:4])-[C&D3&v4&H1&+0&R&z1:5],517
38,[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&R&z1:2](-[C&D2&v4&H2&+0&R&z0:3])-[N&D2&v3&H1&+0&R:4]-[C&D3&v4&H0&+0&R&z2:5].[N&D0&v3&H3&+0&!R:6]>>([C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z1:2](-[N&D1&v3&H2&+0&!R:6])-[C&D2&v4&H2&+0&!R&z0:3].[C&D3&v4&H0&+0&!R&z2:5]-[N&D1&v3&H2&+0&!R:4]),20
39,[C&D2&v4&H2&+0&!R&z0:1]-[C&D3&v4&H0&+0&!R&z1:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[C&D3&v4&H1&+0&R&z1:7]-[C&D2&v4&H2&+0&R&z0:8]-[C&D2&v4&H2&+0&R&z0:9].[O&D1&v2&H0&+0&!R:10]=[O&D1&v2&H0&+0&!R:11]>>[C&D3&v4&H1&+0&R&z1:7]-[C&D3&v4&H1&+0&R&z1:8](-[O&D1&v2&H1&+0&!R:10])-[C&D2&v4&H2&+0&R&z0:9].[O&D1&v2&H0&+0&!R:6]=[C&D2&v4&H0&+0&!R&z2:4]=[O&D1&v2&H0&+0&!R:5].[O&D1&v2&H0&+0&!R:3]=[C&D3&v4&H0&+0&!R&z2:2](-[O&D1&v2&H1&+0&!R:11])-[C&D2&v4&H2&+0&!R&z0:1],298
40,[C&D2&v4&H2&+0&!R&z0:1]-[C&D3&v4&H0&+0&!R&z1:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[C&D2&v4&H2&+0&R&z0:7]-[C&D2&v4&H2&+0&R&z0:8]-[C&D2&v4&H2&+0&R&z1:9].[O&D1&v2&H0&+0&!R:10]=[O&D1&v2&H0&+0&!R:11]>>[C&D2&v4&H2&+0&R&z0:7]-[C&D3&v4&H1&+0&R&z1:8](-[O&D1&v2&H1&+0&!R:10])-[C&D2&v4&H2&+0&R&z1:9].[O&D1&v2&H0&+0&!R:6]=[C&D2&v4&H0&+0&!R&z2:4]=[O&D1&v2&H0&+0&!R:5].[O&D1&v2&H0&+0&!R:3]=[C&D3&v4&H0&+0&!R&z2:2](-[O&D1&v2&H1&+0&!R:11])-[C&D2&v4&H2&+0&!R&z0:1],298
41,[C&D2&v4&H2&+0&!R&z0:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[O&D1&v2&H1&+0&!R:4].[C&D2&v4&H2&+0&!R&z1:5]-[S&D2&v2&H0&+0&!R:6]-[C&D3&v4&H0&+0&!R&z2:7](=[O&D1&v2&H0&+0&!R:8])-[C&D2&v4&H2&+0&!R&z0:9]>>[C&D2&v4&H2&+0&!R&z0:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[S&D2&v2&H0&+0&!R:6]-[C&D2&v4&H2&+0&!R&z1:5].[O&D1&v2&H0&+0&!R:8]=[C&D3&v4&H0&+0&!R&z2:7](-[O&D1&v2&H1&+0&!R:4])-[C&D2&v4&H2&+0&!R&z0:9],145
